Country,Year,Indicator Name,Indicator Code,Country Code,PIB
afghanistan,1960,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1961,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1962,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1963,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1964,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1965,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1966,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1967,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1968,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1969,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1970,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1971,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1972,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1973,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1974,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1975,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1976,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1977,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1978,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1979,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1980,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1981,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1982,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1983,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1984,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1985,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1986,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1987,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1988,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1989,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1990,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1991,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1992,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1993,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1994,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1995,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1996,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1997,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1998,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,1999,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,2000,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,2001,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,2002,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,2003,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,2004,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,2005,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,2006,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,2007,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,2008,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,2009,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,2010,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,2011,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,2012,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
afghanistan,2013,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,AFG,
albania,1960,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,ALB,
albania,1961,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,ALB,
albania,1962,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,ALB,
albania,1963,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,ALB,
albania,1964,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,ALB,
albania,1965,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,ALB,
albania,1966,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,ALB,
albania,1967,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,ALB,
albania,1968,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,ALB,
albania,1969,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,ALB,
albania,1970,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,ALB,
albania,1971,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,ALB,
