Country,Year,Indicator Code,Indicator Name,Country Code,POP
aruba,1960,SP.POP.GROW,Population growth (annual %),ABW,3.148036836
afghanistan,1960,SP.POP.GROW,Population growth (annual %),AFG,1.816076521
angola,1960,SP.POP.GROW,Population growth (annual %),AGO,1.903516708
albania,1960,SP.POP.GROW,Population growth (annual %),ALB,3.015423059
andorra,1960,SP.POP.GROW,Population growth (annual %),AND,7.050663422
arab world,1960,SP.POP.GROW,Population growth (annual %),ARB,
united arab emirates,1960,SP.POP.GROW,Population growth (annual %),ARE,5.859583938
argentina,1960,SP.POP.GROW,Population growth (annual %),ARG,1.630874493
armenia,1960,SP.POP.GROW,Population growth (annual %),ARM,3.596386208
american samoa,1960,SP.POP.GROW,Population growth (annual %),ASM,1.403902596
antigua and barbuda,1960,SP.POP.GROW,Population growth (annual %),ATG,1.121208173
australia,1960,SP.POP.GROW,Population growth (annual %),AUS,2.266911543
austria,1960,SP.POP.GROW,Population growth (annual %),AUT,0.510799365
azerbaijan,1960,SP.POP.GROW,Population growth (annual %),AZE,3.316314509
burundi,1960,SP.POP.GROW,Population growth (annual %),BDI,1.945067105
belgium,1960,SP.POP.GROW,Population growth (annual %),BEL,0.657711497
benin,1960,SP.POP.GROW,Population growth (annual %),BEN,1.303687177
burkina faso,1960,SP.POP.GROW,Population growth (annual %),BFA,1.359523054
bangladesh,1960,SP.POP.GROW,Population growth (annual %),BGD,2.845730064
bulgaria,1960,SP.POP.GROW,Population growth (annual %),BGR,0.952936538
bahrain,1960,SP.POP.GROW,Population growth (annual %),BHR,3.540425658
"bahamas, the",1960,SP.POP.GROW,Population growth (annual %),BHS,4.790265731
bosnia and herzegovina,1960,SP.POP.GROW,Population growth (annual %),BIH,1.892665926
belarus,1960,SP.POP.GROW,Population growth (annual %),BLR,0.977388387
belize,1960,SP.POP.GROW,Population growth (annual %),BLZ,2.835710017
bermuda,1960,SP.POP.GROW,Population growth (annual %),BMU,1.360606337
bolivia,1960,SP.POP.GROW,Population growth (annual %),BOL,1.899197955
brazil,1960,SP.POP.GROW,Population growth (annual %),BRA,2.895856892
barbados,1960,SP.POP.GROW,Population growth (annual %),BRB,0.255805623
brunei darussalam,1960,SP.POP.GROW,Population growth (annual %),BRN,4.793482025
bhutan,1960,SP.POP.GROW,Population growth (annual %),BTN,2.500918217
botswana,1960,SP.POP.GROW,Population growth (annual %),BWA,2.295706581
central african republic,1960,SP.POP.GROW,Population growth (annual %),CAF,1.611712882
canada,1960,SP.POP.GROW,Population growth (annual %),CAN,2.298626535
central europe and the baltics,1960,SP.POP.GROW,Population growth (annual %),CEB,
switzerland,1960,SP.POP.GROW,Population growth (annual %),CHE,2.172273752
channel islands,1960,SP.POP.GROW,Population growth (annual %),CHI,0.821312745
chile,1960,SP.POP.GROW,Population growth (annual %),CHL,2.226498806
china,1960,SP.POP.GROW,Population growth (annual %),CHN,1.832867681
cote d'ivoire,1960,SP.POP.GROW,Population growth (annual %),CIV,3.51886034
cameroon,1960,SP.POP.GROW,Population growth (annual %),CMR,2.019120276
"congo, dem. rep.",1960,SP.POP.GROW,Population growth (annual %),COD,2.499988847
"congo, rep.",1960,SP.POP.GROW,Population growth (annual %),COG,2.502663802
colombia,1960,SP.POP.GROW,Population growth (annual %),COL,2.990153079
comoros,1960,SP.POP.GROW,Population growth (annual %),COM,1.59489481
cabo verde,1960,SP.POP.GROW,Population growth (annual %),CPV,1.195391843
costa rica,1960,SP.POP.GROW,Population growth (annual %),CRI,3.574736675
caribbean small states,1960,SP.POP.GROW,Population growth (annual %),CSS,
cuba,1960,SP.POP.GROW,Population growth (annual %),CUB,1.917888463
curacao,1960,SP.POP.GROW,Population growth (annual %),CUW,0.73572016
cayman islands,1960,SP.POP.GROW,Population growth (annual %),CYM,2.510592113
cyprus,1960,SP.POP.GROW,Population growth (annual %),CYP,1.043598801
czech republic,1960,SP.POP.GROW,Population growth (annual %),CZE,1.306507785
germany,1960,SP.POP.GROW,Population growth (annual %),DEU,0.782668664
djibouti,1960,SP.POP.GROW,Population growth (annual %),DJI,4.930921415
dominica,1960,SP.POP.GROW,Population growth (annual %),DMA,1.83133434
denmark,1960,SP.POP.GROW,Population growth (annual %),DNK,0.665278655
dominican republic,1960,SP.POP.GROW,Population growth (annual %),DOM,3.373939115
algeria,1960,SP.POP.GROW,Population growth (annual %),DZA,2.511433946
east asia & pacific (excluding high income),1960,SP.POP.GROW,Population growth (annual %),EAP,
early-demographic dividend,1960,SP.POP.GROW,Population growth (annual %),EAR,
east asia & pacific,1960,SP.POP.GROW,Population growth (annual %),EAS,
europe & central asia (excluding high income),1960,SP.POP.GROW,Population growth (annual %),ECA,
europe & central asia,1960,SP.POP.GROW,Population growth (annual %),ECS,
ecuador,1960,SP.POP.GROW,Population growth (annual %),ECU,2.825974648
"egypt, arab rep.",1960,SP.POP.GROW,Population growth (annual %),EGY,2.755888302
euro area,1960,SP.POP.GROW,Population growth (annual %),EMU,
eritrea,1960,SP.POP.GROW,Population growth (annual %),ERI,2.405460096
spain,1960,SP.POP.GROW,Population growth (annual %),ESP,1.119571742
estonia,1960,SP.POP.GROW,Population growth (annual %),EST,0.668324362
ethiopia,1960,SP.POP.GROW,Population growth (annual %),ETH,2.233580359
european union,1960,SP.POP.GROW,Population growth (annual %),EUU,
fragile and conflict affected situations,1960,SP.POP.GROW,Population growth (annual %),FCS,
finland,1960,SP.POP.GROW,Population growth (annual %),FIN,0.780665603
fiji,1960,SP.POP.GROW,Population growth (annual %),FJI,3.343392705
france,1960,SP.POP.GROW,Population growth (annual %),FRA,1.229610037
faroe islands,1960,SP.POP.GROW,Population growth (annual %),FRO,1.3623437
"micronesia, fed. sts.",1960,SP.POP.GROW,Population growth (annual %),FSM,3.219424089
gabon,1960,SP.POP.GROW,Population growth (annual %),GAB,0.892015956
united kingdom,1960,SP.POP.GROW,Population growth (annual %),GBR,0.34612887
georgia,1960,SP.POP.GROW,Population growth (annual %),GEO,1.843752918
ghana,1960,SP.POP.GROW,Population growth (annual %),GHA,3.161215988
gibraltar,1960,SP.POP.GROW,Population growth (annual %),GIB,1.139233782
guinea,1960,SP.POP.GROW,Population growth (annual %),GIN,1.569383198
"gambia, the",1960,SP.POP.GROW,Population growth (annual %),GMB,3.024112494
guinea-bissau,1960,SP.POP.GROW,Population growth (annual %),GNB,1.245539238
equatorial guinea,1960,SP.POP.GROW,Population growth (annual %),GNQ,1.46849109
greece,1960,SP.POP.GROW,Population growth (annual %),GRC,0.722756593
grenada,1960,SP.POP.GROW,Population growth (annual %),GRD,1.815669598
greenland,1960,SP.POP.GROW,Population growth (annual %),GRL,4.005305946
guatemala,1960,SP.POP.GROW,Population growth (annual %),GTM,2.960304953
guam,1960,SP.POP.GROW,Population growth (annual %),GUM,1.696915175
guyana,1960,SP.POP.GROW,Population growth (annual %),GUY,3.14917698
high income,1960,SP.POP.GROW,Population growth (annual %),HIC,
"hong kong sar, china",1960,SP.POP.GROW,Population growth (annual %),HKG,4.450990508
honduras,1960,SP.POP.GROW,Population growth (annual %),HND,2.807814424
heavily indebted poor countries (hipc),1960,SP.POP.GROW,Population growth (annual %),HPC,
croatia,1960,SP.POP.GROW,Population growth (annual %),HRV,0.623145253
haiti,1960,SP.POP.GROW,Population growth (annual %),HTI,1.96060846
hungary,1960,SP.POP.GROW,Population growth (annual %),HUN,0.267505797
ibrd only,1960,SP.POP.GROW,Population growth (annual %),IBD,
ida & ibrd total,1960,SP.POP.GROW,Population growth (annual %),IBT,
ida total,1960,SP.POP.GROW,Population growth (annual %),IDA,
ida blend,1960,SP.POP.GROW,Population growth (annual %),IDB,
indonesia,1960,SP.POP.GROW,Population growth (annual %),IDN,2.62028392
ida only,1960,SP.POP.GROW,Population growth (annual %),IDX,
