Country,year,Indicator Code,Indicator Name,Country Code,POP
aruba,1960,SP.POP.GROW,Population growth (annual %),ABW,3.148036836
afghanistan,1960,SP.POP.GROW,Population growth (annual %),AFG,1.8160765209999998
angola,1960,SP.POP.GROW,Population growth (annual %),AGO,1.9035167080000002
albania,1960,SP.POP.GROW,Population growth (annual %),ALB,3.0154230589999997
andorra,1960,SP.POP.GROW,Population growth (annual %),AND,7.050663422
arab world,1960,SP.POP.GROW,Population growth (annual %),ARB,
united arab emirates,1960,SP.POP.GROW,Population growth (annual %),ARE,5.859583937999999
argentina,1960,SP.POP.GROW,Population growth (annual %),ARG,1.630874493
armenia,1960,SP.POP.GROW,Population growth (annual %),ARM,3.596386208
american samoa,1960,SP.POP.GROW,Population growth (annual %),ASM,1.403902596
antigua and barbuda,1960,SP.POP.GROW,Population growth (annual %),ATG,1.1212081729999999
australia,1960,SP.POP.GROW,Population growth (annual %),AUS,2.266911543
austria,1960,SP.POP.GROW,Population growth (annual %),AUT,0.510799365
azerbaijan,1960,SP.POP.GROW,Population growth (annual %),AZE,3.3163145089999997
burundi,1960,SP.POP.GROW,Population growth (annual %),BDI,1.945067105
belgium,1960,SP.POP.GROW,Population growth (annual %),BEL,0.657711497
benin,1960,SP.POP.GROW,Population growth (annual %),BEN,1.303687177
burkina faso,1960,SP.POP.GROW,Population growth (annual %),BFA,1.359523054
bangladesh,1960,SP.POP.GROW,Population growth (annual %),BGD,2.8457300639999996
bulgaria,1960,SP.POP.GROW,Population growth (annual %),BGR,0.952936538
bahrain,1960,SP.POP.GROW,Population growth (annual %),BHR,3.540425658
"bahamas, the",1960,SP.POP.GROW,Population growth (annual %),BHS,4.790265731
bosnia and herzegovina,1960,SP.POP.GROW,Population growth (annual %),BIH,1.8926659259999998
belarus,1960,SP.POP.GROW,Population growth (annual %),BLR,0.9773883870000001
belize,1960,SP.POP.GROW,Population growth (annual %),BLZ,2.835710017
bermuda,1960,SP.POP.GROW,Population growth (annual %),BMU,1.3606063369999999
bolivia,1960,SP.POP.GROW,Population growth (annual %),BOL,1.899197955
brazil,1960,SP.POP.GROW,Population growth (annual %),BRA,2.895856892
barbados,1960,SP.POP.GROW,Population growth (annual %),BRB,0.255805623
brunei darussalam darussalam,1960,SP.POP.GROW,Population growth (annual %),BRN,4.793482025
bhutan,1960,SP.POP.GROW,Population growth (annual %),BTN,2.5009182169999997
botswana,1960,SP.POP.GROW,Population growth (annual %),BWA,2.295706581
central african republic,1960,SP.POP.GROW,Population growth (annual %),CAF,1.611712882
canada,1960,SP.POP.GROW,Population growth (annual %),CAN,2.298626535
central europe and the baltics,1960,SP.POP.GROW,Population growth (annual %),CEB,
switzerland,1960,SP.POP.GROW,Population growth (annual %),CHE,2.1722737519999997
channel islands,1960,SP.POP.GROW,Population growth (annual %),CHI,0.821312745
chile,1960,SP.POP.GROW,Population growth (annual %),CHL,2.226498806
china,1960,SP.POP.GROW,Population growth (annual %),CHN,1.832867681
cote d'ivoire,1960,SP.POP.GROW,Population growth (annual %),CIV,3.51886034
cameroon,1960,SP.POP.GROW,Population growth (annual %),CMR,2.0191202759999998
"congo, dem. rep.",1960,SP.POP.GROW,Population growth (annual %),COD,2.499988847
"congo, rep.",1960,SP.POP.GROW,Population growth (annual %),COG,2.502663802
colombia,1960,SP.POP.GROW,Population growth (annual %),COL,2.9901530789999997
comoros,1960,SP.POP.GROW,Population growth (annual %),COM,1.59489481
cabo verde,1960,SP.POP.GROW,Population growth (annual %),CPV,1.195391843
costa rica,1960,SP.POP.GROW,Population growth (annual %),CRI,3.574736675
caribbean small states,1960,SP.POP.GROW,Population growth (annual %),CSS,
cuba,1960,SP.POP.GROW,Population growth (annual %),CUB,1.9178884630000002
curacao,1960,SP.POP.GROW,Population growth (annual %),CUW,0.73572016
cayman islands,1960,SP.POP.GROW,Population growth (annual %),CYM,2.510592113
cyprus,1960,SP.POP.GROW,Population growth (annual %),CYP,1.043598801
czech republic,1960,SP.POP.GROW,Population growth (annual %),CZE,1.306507785
germany,1960,SP.POP.GROW,Population growth (annual %),DEU,0.782668664
djibouti,1960,SP.POP.GROW,Population growth (annual %),DJI,4.930921415
dominica,1960,SP.POP.GROW,Population growth (annual %),DMA,1.83133434
denmark,1960,SP.POP.GROW,Population growth (annual %),DNK,0.665278655
dominican republic,1960,SP.POP.GROW,Population growth (annual %),DOM,3.373939115
algeria,1960,SP.POP.GROW,Population growth (annual %),DZA,2.511433946
east asia & pacific (excluding high income),1960,SP.POP.GROW,Population growth (annual %),EAP,
early-demographic dividend,1960,SP.POP.GROW,Population growth (annual %),EAR,
east asia & pacific,1960,SP.POP.GROW,Population growth (annual %),EAS,
europe & central asia (excluding high income),1960,SP.POP.GROW,Population growth (annual %),ECA,
europe & central asia,1960,SP.POP.GROW,Population growth (annual %),ECS,
ecuador,1960,SP.POP.GROW,Population growth (annual %),ECU,2.8259746480000003
"egypt, arab rep.",1960,SP.POP.GROW,Population growth (annual %),EGY,2.755888302
euro area,1960,SP.POP.GROW,Population growth (annual %),EMU,
eritrea,1960,SP.POP.GROW,Population growth (annual %),ERI,2.405460096
spain,1960,SP.POP.GROW,Population growth (annual %),ESP,1.119571742
estonia,1960,SP.POP.GROW,Population growth (annual %),EST,0.668324362
ethiopia,1960,SP.POP.GROW,Population growth (annual %),ETH,2.233580359
european union,1960,SP.POP.GROW,Population growth (annual %),EUU,
fragile and conflict affected situations,1960,SP.POP.GROW,Population growth (annual %),FCS,
finland,1960,SP.POP.GROW,Population growth (annual %),FIN,0.780665603
fiji,1960,SP.POP.GROW,Population growth (annual %),FJI,3.343392705
france,1960,SP.POP.GROW,Population growth (annual %),FRA,1.229610037
faroe islands,1960,SP.POP.GROW,Population growth (annual %),FRO,1.3623437
"micronesia, fed. sts.",1960,SP.POP.GROW,Population growth (annual %),FSM,3.219424089
gabon,1960,SP.POP.GROW,Population growth (annual %),GAB,0.8920159559999999
united kingdom,1960,SP.POP.GROW,Population growth (annual %),GBR,0.34612887
