Country,Date of Admission
Afghanistan,19-Nov-46
Albania,14-Dec-55
Algeria,08-Oct-62
Andorra,28-Jul-93
Angola,01-Dec-76
Antigua and Barbuda,11-Nov-81
Argentina,24-Oct-45
Armenia,02-Mar-92
Australia,01-Nov-45
Austria,14-Dec-55
Azerbaijan,02-Mar-92
Bahamas,18-Sep-73
Bahrain,21-Sep-71
Bangladesh,17-Sep-74
Barbados,09-Dec-66
Belarus [1],24-Oct-45
Belgium,27-Dec-45
Belize,25-Sep-81
Benin,20-Sep-60
Bhutan,21-Sep-71
Bolivia,14-Nov-45
Bosnia and Herzegovina [2],22-May-92
Botswana,17-Oct-66
Brazil,24-Oct-45
Brunei Darussalam,21-Sep-84
Bulgaria,14-Dec-55
Burkina Faso,20-Sep-60
Burundi,18-Sep-62
Cambodia,14-Dec-55
Cameroon,20-Sep-60
Canada,09-Nov-45
Cape Verde,16-Sep-75
Central African Republic,20-Sep-60
Chad,20-Sep-60
Chile,24-Oct-45
China,24-Oct-45
Colombia,05-Nov-45
Comoros,12-Nov-75
Congo (Republic of the),20-Sep-60
Costa Rica,02-Nov-45
Côte d’Ivoire,20-Sep-60
Croatia [3],22-May-92
Cuba,24-Oct-45
Cyprus,20-Sep-60
Czech Republic [4],19-Jan-93
Democratic People’s Republic of Korea,17-Sep-91
Democratic Republic of the Congo[5],20-Sep-60
Denmark,24-Oct-45
Djibouti,20-Sep-77
Dominica,18-Dec-78
Dominican Republic,24-Oct-45
Ecuador,21-Dec-45
Egypt [6],24-Oct-45
El Salvador,24-Oct-45
Equatorial Guinea,12-Nov-68
Eritrea,28-May-93
Estonia,17-Sep-91
Ethiopia,13-Nov-45
Fiji,13-Oct-70
Finland,14-Dec-55
France,24-Oct-45
Gabon,20-Sep-60
Gambia,21-Sep-65
Georgia,31-Jul-92
Germany [7],18-Sep-73
Ghana,08-Mar-57
Greece,25-Oct-45
Grenada,17-Sep-74
Guatemala,21-Nov-45
Guinea,12-Dec-58
Guinea-Bissau,17-Sep-74
Guyana,20-Sep-66
Haiti,24-Oct-45
Honduras,17-Dec-45
Hungary,14-Dec-55
Iceland,19-Nov-46
India,30-Oct-45
Indonesia [8],28-Sep-50
Iran,24-Oct-45
Iraq,21-Dec-45
Ireland,14-Dec-55
Israel,11-May-49
Italy,14-Dec-55
Jamaica,18-Sep-62
Japan,18-Dec-56
Jordan,14-Dec-55
Kazakhstan,02-Mar-92
Kenya,16-Dec-63
Kiribati,14-Sep-99
Kuwait,14-May-63
Kyrgyzstan,02-Mar-92
Lao People’s Democratic Republic,14-Dec-55
Latvia,17-Sep-91
Lebanon,24-Oct-45
Lesotho,17-Oct-66
Liberia,02-Nov-45
Libya,14-Dec-55
Liechtenstein,18-Sep-90
Lithuania,17-Sep-91
Luxembourg,24-Oct-45
Madagascar,20-Sep-60
Malawi,01-Dec-64
Malaysia [9],17-Sep-57
Maldives,21-Sep-65
Mali,28-Sep-60
Malta,01-Dec-64
Marshall Islands,17-Sep-91
Mauritania,27-Oct-61
Mauritius,24-Apr-68
Mexico,07-Nov-45
Micronesia (Federated States of),17-Sep-91
Monaco,28-May-93
Mongolia,27-Oct-61
Montenegro [10],28-Jun-06
Morocco,12-Nov-56
Mozambique,16-Sep-75
Myanmar,19-Apr-48
Namibia,23-Apr-90
Nauru,14-Sep-99
Nepal,14-Dec-55
Netherlands,10-Dec-45
New Zealand,24-Oct-45
Nicaragua,24-Oct-45
Niger,20-Sep-60
Nigeria,07-Oct-60
Norway,27-Nov-45
Oman,07-Oct-71
Pakistan,30-Sep-47
Palau,15-Dec-94
Panama,13-Nov-45
Papua New Guinea,10-Oct-75
Paraguay,24-Oct-45
Peru,31-Oct-45
Philippines,24-Oct-45
Poland,24-Oct-45
Portugal,14-Dec-55
Qatar,21-Sep-71
Republic of Korea,17-Sep-91
Republic of Moldova,02-Mar-92
Romania,14-Dec-55
Russian Federation [11],24-Oct-45
Rwanda,18-Sep-62
Saint Kitts and Nevis,23-Sep-83
Saint Lucia,18-Sep-79
Saint Vincent and the Grenadines,16-Sep-80
Samoa,15-Dec-76
San Marino,02-Mar-92
Sao Tome and Principe,16-Sep-75
Saudi Arabia,24-Oct-45
Senegal,28-Sep-60
Serbia [12],01-Nov-00
Seychelles,21-Sep-76
Sierra Leone,27-Sep-61
Singapore,21-Sep-65
Slovakia [13],19-Jan-93
Slovenia [14],22-May-92
Solomon Islands,19-Sep-78
Somalia,20-Sep-60
South Africa,07-Nov-45
South Sudan,14-Jul-11
Spain,14-Dec-55
Sri Lanka,14-Dec-55
Sudan,12-Nov-56
Suriname,04-Dec-75
Swaziland,24-Sep-68
Switzerland,10-Sep-02
Sweden,19-Nov-46
Syria [15],24-Oct-45
Tajikistan,02-Mar-92
Thailand,16-Dec-46
The former Yugoslav Republic of Macedonia [16],08-Apr-93
Timor Leste,27-Sep-02
Togo,20-Sep-60
Tonga,14-Sep-99
Trinidad and Tobago,18-Sep-62
Tunisia,12-Nov-56
Turkey,24-Oct-45
Turkmenistan,02-Mar-92
Tuvalu,05-Sep-00
Uganda,25-Oct-62
Ukraine,24-Oct-45
United Arab Emirates,09-Dec-71
United Kingdom,24-Oct-45
United of Republic of Tanzania[17],14-Dec-61
United States,24-Oct-45
Uruguay,18-Dec-45
Uzbekistan,02-Mar-92
Vanuatu,15-Sep-81
Venezuela,15-Nov-45
Viet Nam,20-Sep-77
Yemen [18],30-Sep-47
Zambia,01-Dec-64
Zimbabwe,25-Aug-80
