Country,Date of Admission,Year,AverageTemperature,Standard Deviation
afghanistan,19-Nov-46,1960,15.05118182,8.919991803
afghanistan,19-Nov-46,1961,14.06491667,9.684161544
afghanistan,19-Nov-46,1962,13.76866667,9.143732303
afghanistan,19-Nov-46,1963,15.03341667,8.857022652
afghanistan,19-Nov-46,1964,13.08491667,10.40156408
afghanistan,19-Nov-46,1965,14.10183333,8.954021573
afghanistan,19-Nov-46,1966,14.343,8.842851864
afghanistan,19-Nov-46,1967,13.66325,9.382971347
afghanistan,19-Nov-46,1968,13.76233333,9.245363687
afghanistan,19-Nov-46,1969,13.80508333,9.567923832
afghanistan,19-Nov-46,1970,14.78308333,9.41021344
afghanistan,19-Nov-46,1971,14.8235,9.263610022
afghanistan,19-Nov-46,1972,12.54716667,10.07196519
afghanistan,19-Nov-46,1973,14.2355,10.07531044
afghanistan,19-Nov-46,1974,13.31675,10.05290886
afghanistan,19-Nov-46,1975,13.54808333,9.89500067
afghanistan,19-Nov-46,1976,13.70858333,9.827493821
afghanistan,19-Nov-46,1977,14.80541667,9.709999059
afghanistan,19-Nov-46,1978,14.32966667,9.534615741
afghanistan,19-Nov-46,1979,14.26208333,9.120258623
afghanistan,19-Nov-46,1980,14.88733333,9.557377763
afghanistan,19-Nov-46,1981,14.86008333,8.777182241
afghanistan,19-Nov-46,1982,13.73308333,9.814467137
afghanistan,19-Nov-46,1983,14.61483333,9.820287293
afghanistan,19-Nov-46,1984,14.24583333,10.52094015
afghanistan,19-Nov-46,1985,14.88875,9.340854401
afghanistan,19-Nov-46,1986,14.22316667,9.579368681
afghanistan,19-Nov-46,1987,14.984,8.665605629
afghanistan,19-Nov-46,1988,15.389,9.219872342
afghanistan,19-Nov-46,1989,14.12575,9.598163235
afghanistan,19-Nov-46,1990,14.99333333,9.857546637
afghanistan,19-Nov-46,1991,14.37075,9.311046774
afghanistan,19-Nov-46,1992,14.05608333,8.803370093
afghanistan,19-Nov-46,1993,14.43925,9.2365011
afghanistan,19-Nov-46,1994,14.75475,9.490151451
afghanistan,19-Nov-46,1995,14.85916667,9.574409907
afghanistan,19-Nov-46,1996,14.426,9.615163243
afghanistan,19-Nov-46,1997,14.904,9.524471057
afghanistan,19-Nov-46,1998,15.1325,9.289287726
afghanistan,19-Nov-46,1999,15.38875,9.169137276
afghanistan,19-Nov-46,2000,15.49783333,9.678690368
afghanistan,19-Nov-46,2001,15.77808333,9.601361906
afghanistan,19-Nov-46,2002,15.53766667,9.513237632
afghanistan,19-Nov-46,2003,14.916,9.17632308
afghanistan,19-Nov-46,2004,15.77091667,8.804717222
afghanistan,19-Nov-46,2005,14.98,9.613469821
afghanistan,19-Nov-46,2006,15.59558333,9.936402408
afghanistan,19-Nov-46,2007,15.10616667,9.56005674
afghanistan,19-Nov-46,2008,15.2165,10.97082024
afghanistan,19-Nov-46,2009,15.25775,9.176367207
afghanistan,19-Nov-46,2010,15.82866667,9.109413037
afghanistan,19-Nov-46,2011,15.518,10.3828534
afghanistan,19-Nov-46,2012,14.48158333,10.27089626
